"interval_no","record_type","scale_no","scale_level","interval_name","abbrev","parent_no","color","max_ma","min_ma","reference_no"
555,"int",NA,NA,"Porterfieldian","",NA,"",0,0,8960
32,"int",1,4,"Holocene","",12,"#FEF2E0",0.0117,0,47900
3002,"int",1,5,"Holocene","",32,"#FEF2E0",0.0117,0,47900
1088,"int",NA,NA,"Tarantian","",NA,"",0.126,0.012,42499
922,"int",1,5,"Late Pleistocene","",33,"#FFF2D3",0.126,0.0117,15443
237,"int",NA,NA,"Rancholabrean","",NA,"",0.3,0.012,5959
239,"int",NA,NA,"Sheridanian","",NA,"",0.3,0.012,5959
943,"int",NA,NA,"Haweran","",NA,"",0.34,0,18155
718,"int",NA,NA,"Lujanian","",NA,"",0.781,0.012,9569
1089,"int",NA,NA,"Ionian","",NA,"",0.781,0.126,42499
923,"int",1,5,"Middle Pleistocene","",33,"#FFF2C7",0.781,0.126,15443
719,"int",NA,NA,"Ensenadan","",NA,"",1.2,0.781,9569
944,"int",NA,NA,"Castlecliffian","",NA,"",1.63,0.34,18155
241,"int",NA,NA,"Sappan","",NA,"",1.8,0.3,5959
238,"int",NA,NA,"Irvingtonian","",NA,"",1.8,0.3,5959
240,"int",NA,NA,"Cudahyan","",NA,"",1.8,0.3,5959
740,"int",1,5,"Calabrian","",33,"#FFF2BA",1.806,0.781,47900
945,"int",NA,NA,"Nukumaruan","",NA,"",2.4,1.63,18155
924,"int",NA,NA,"Early Pleistocene","",NA,"",2.588,0.781,15443
295,"int",NA,NA,"MN 17","",NA,"",2.588,1.806,8851
1038,"int",NA,NA,"Nihewanian","",NA,"",2.588,0.012,23736
12,"int",1,3,"Quaternary","",1,"#F9F97F",2.588,0,47900
33,"int",1,4,"Pleistocene","",12,"#FFF2AE",2.588,0.0117,47900
741,"int",1,5,"Gelasian","",33,"#FFEDB3",2.588,1.806,47900
720,"int",NA,NA,"Uquian","",NA,"",3,1.2,9569
946,"int",NA,NA,"Mangapanian","",NA,"",3,2.4,18155
288,"int",NA,NA,"Villanyian","",NA,"",3.2,2.588,8851
296,"int",NA,NA,"MN 16","",NA,"",3.2,2.588,8851
81,"int",NA,NA,"Late Pliocene","",NA,"",3.6,2.588,5954
947,"int",NA,NA,"Waipipian","",NA,"",3.6,3,18155
96,"int",1,5,"Piacenzian","",34,"#FFFFBF",3.6,2.588,47900
721,"int",NA,NA,"Chapadmalalan","",NA,"",4,3,9569
297,"int",NA,NA,"MN 15","",NA,"",4.2,3.2,8851
1039,"int",NA,NA,"Yushean","",NA,"",4.9,2.588,23736
219,"int",NA,NA,"Blancan","",NA,"",4.9,1.8,5954
242,"int",NA,NA,"""Senecan""","",NA,"",4.9,1.8,5959
298,"int",NA,NA,"MN 14","",NA,"",4.9,4.2,8851
243,"int",NA,NA,"Rexroadian","",NA,"",4.9,1.8,5959
289,"int",NA,NA,"Ruscinian","",NA,"",5.333,3.2,8851
925,"int",NA,NA,"Wanganui","",NA,"",5.333,0,18155
948,"int",NA,NA,"Opoitian","",NA,"",5.333,3.6,18155
82,"int",NA,NA,"Early Pliocene","",NA,"",5.333,3.6,5954
34,"int",1,4,"Pliocene","",25,"#FFFF99",5.333,2.588,47900
97,"int",1,5,"Zanclean","",34,"#FFFFB3",5.333,3.6,47900
949,"int",NA,NA,"Kapitean","",NA,"",6.5,5.333,18155
722,"int",NA,NA,"Montehermosan","",NA,"",6.8,4,9569
299,"int",NA,NA,"MN 13","",NA,"",7.246,4.9,8851
98,"int",1,5,"Messinian","",35,"#FFFF73",7.246,5.333,47900
300,"int",NA,NA,"MN 12","",NA,"",7.75,7.246,8851
301,"int",NA,NA,"MN 11","",NA,"",8.7,7.75,8851
290,"int",NA,NA,"Turolian","",NA,"",8.7,5.333,8851
723,"int",NA,NA,"Huayquerian","",NA,"",9,6.8,9569
302,"int",NA,NA,"MN 10","",NA,"",9.7,8.7,8851
724,"int",NA,NA,"Chasicoan","",NA,"",10,9,9569
246,"int",NA,NA,"early Early Hemphillian","",NA,"",10.3,4.9,5959
220,"int",NA,NA,"Hemphillian","",NA,"",10.3,4.9,5954
244,"int",NA,NA,"Late Hemphillian","",NA,"",10.3,4.9,5959
245,"int",NA,NA,"late Early Hemphillian","",NA,"",10.3,4.9,5959
926,"int",NA,NA,"Taranaki","",NA,"",10.92,5.333,18155
1040,"int",NA,NA,"Baodean","",NA,"",11.1,4.9,23736
303,"int",NA,NA,"MN 9","",NA,"",11.1,9.7,8851
1044,"int",NA,NA,"Pannonian","",NA,"",11.608,7.246,23788
950,"int",NA,NA,"Tongaporutuan","",NA,"",11.608,6.5,18155
83,"int",NA,NA,"Late Miocene","",NA,"",11.608,5.333,5954
291,"int",NA,NA,"Vallesian","",NA,"",11.608,8.7,8851
99,"int",1,5,"Tortonian","",35,"#FFFF66",11.62,7.246,47900
725,"int",NA,NA,"Mayoan","",NA,"",11.8,10,9569
1045,"int",NA,NA,"Sarmatian","",NA,"",12.7,11.608,23788
951,"int",NA,NA,"Waiauan","",NA,"",12.7,11.608,18155
304,"int",NA,NA,"MN 7 + 8","",NA,"",12.75,11.1,8851
